ps -aux >> 03.report.process.shell.txt

USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
dumdum    2743  0.0  0.0 189028  5836 tty2     Ssl+ 08:38   0:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=pop gnome-session --session=pop
dumdum    2745  2.4  1.1 534872 96132 tty2     Sl+  08:38   2:41 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
dumdum    2755  0.0  0.0  22440  5308 ?        Ss   08:38   0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
dumdum    2758  0.0  0.2 469448 16492 tty2     Sl+  08:38   0:00 /usr/lib/gnome-session/gnome-session-binary --session=pop
dumdum    2885  0.0  0.0   5152   320 ?        Ss   08:38   0:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=pop gnome-session --session=pop
dumdum    2888  0.0  0.0 262708  7312 ?        Ssl  08:38   0:00 /usr/lib/gvfs/gvfsd
dumdum    2893  0.0  0.1 387088  8144 ?        Sl   08:38   0:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
dumdum    2904  0.0  0.1 320860  8972 ?        Ssl  08:38   0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
dumdum    2910  0.0  0.0  21480  4320 ?        S    08:38   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
dumdum    2912  0.0  0.0 184252  6948 ?        Sl   08:38   0:01 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
dumdum    2928  2.5  2.0 3302404 164124 tty2   Sl+  08:38   2:47 /usr/bin/gnome-shell
dumdum    2938  2.1  0.2 2778732 18168 ?       S<sl 08:38   2:22 /usr/bin/pulseaudio --daemonize=no
root      2953  0.0  0.0      0     0 ?        S<   08:38   0:00 [krfcommd]
dumdum    2956  0.2  0.1 331024 11808 tty2     Sl   08:38   0:19 ibus-daemon --xim --panel disable
